station_number,station_id,stationName,distFromFristStation,metroLine,Opened,Layout,Latitude,Longitude
265,10,Noida Sector 143,11.5,Aqua line,2019-01-25,Elevated,28.50266325,77.42625566
266,11,Noida Sector 144,12.9,Aqua line,2019-01-25,Elevated,28.4089049,76.9155232
267,12,Noida Sector 145,14.1,Aqua line,2019-01-25,Elevated,28.4089049,76.9155232
268,13,Noida Sector 146,15.8,Aqua line,2019-01-25,Elevated,28.4082289,76.963024
269,14,Noida Sector 147,17.3,Aqua line,2019-01-25,Elevated,28.4089049,76.9155232
270,15,Noida Sector 148,18.9,Aqua line,2019-01-25,Elevated,28.4758348,77.55447875
271,16,Knowledge Park II,21.4,Aqua line,2019-01-25,Elevated,28.4568669,77.50005403
272,17,Pari Chowk Greater Noida,22.5,Aqua line,2019-01-25,Elevated,28.4631285,77.50809851
273,18,Alpha 1 Greater Noida,23.4,Aqua line,2019-01-25,Elevated,28.4709,77.5127
274,19,Delta 1 Greater Noida,24.9,Aqua line,2019-01-25,Elevated,28.474388,77.50399
275,20,GNIDA Office,26.2,Aqua line,2019-01-25,Elevated,28.474388,77.50399
276,21,Depot Greater Noida,27.1,Aqua line,2019-01-25,Elevated,28.474388,77.50399
277,1,Dwarka [Conn: Blue],0,Gray line,2019-10-04,Elevated,28.5771915,77.0442935
278,2,Nangli,1.5,Gray line,2019-10-04,Elevated,28.6173003,77.0104375
279,3,Najafgarh,3.9,Gray line,2019-10-04,Underground,28.612304,76.9823908
280,1,New Delhi-Airport Express [Conn: Yellow],0,Orange line,2011-02-23,Underground,28.64307,77.22144
281,2,Shivaji Stadium,1.9,Orange line,2011-02-23,Underground,28.62901,77.2119
282,3,Dhaula Kuan [Conn: Pink],8.3,Orange line,2011-08-15,Elevated,28.59178,77.16155
283,4,Delhi Aerocity,14.5,Orange line,2011-08-15,Underground,28.54881,77.12092
284,5,IGI Airport,17.9,Orange line,2011-02-23,Underground,28.55693,77.08669
285,6,Dwarka Sector 21 [Conn: Blue],20.8,Orange line,2011-02-23,Underground,28.55226,77.05828
